route_id,service_id,trip_id,direction_id,block_id,shape_id
707,平日運行ダイヤ(R5),92a1f251f0018ece7ff0b97720c89ac0,,,shapes_707_1
707,平日運行ダイヤ(R5),65d74483903be8cefcf3dea122015671,,,shapes_707_1
707,平日運行ダイヤ(R5),1088d2d37bbfd5b87e20b58a84e28455,,,shapes_707_1
707,休日運行ダイヤ(R5),95104adcaed2a740513b1e57924f09dd,,,shapes_707_1
707,休日運行ダイヤ(R5),ab3edb5bcf3acfac58ae9defd7c3b3fa,,,shapes_707_1
707,休日運行ダイヤ(R5),ee103a403914b1a7622085c6255bc85f,,,shapes_707_1
707,平日運行ダイヤ(R6),5b070c011ef8a9d5c3daa7e224853077,,,shapes_707_1
707,平日運行ダイヤ(R6),dd11079c15aa969e678c057fe29b9f2c,,,shapes_707_1
707,平日運行ダイヤ(R6),f556b5ea08e1dd04da1e78b32def232a,,,shapes_707_1
707,休日運行ダイヤ(R6),b1c0329c9623cc4117780784e178b24e,,,shapes_707_1
707,休日運行ダイヤ(R6),f13e5459462f198b0be0672d098def0e,,,shapes_707_1
707,休日運行ダイヤ(R6),57df5d9edc15c4ab236f6daaa5bd2217,,,shapes_707_1
707,平日運行ダイヤ(R7),d0aa1045df5fd71d57f45b01db35aa71,,,shapes_707_1
707,平日運行ダイヤ(R7),bb75c0c239e8169efdeb4b49bf234a05,,,shapes_707_1
707,平日運行ダイヤ(R7),54309ec9f13f90632588784e08f98697,,,shapes_707_1
707,休日運行ダイヤ(R7),1aa9bf1490088e0e773e21c4fd9ebec0,,,shapes_707_1
707,休日運行ダイヤ(R7),8fd476575294b29317c1e78fb35575d6,,,shapes_707_1
707,休日運行ダイヤ(R7),b3f0adaa19222cb45fe623c35f9cc9ea,,,shapes_707_1
708,平日運行ダイヤ(R5),b4ec51b86d3afd2ea6da9a642c286aaa,,,shapes_708_1
708,平日運行ダイヤ(R5),44e7aa4a800b7fbf78aab8fd35e38c7f,,,shapes_708_1
708,平日運行ダイヤ(R5),e108ea82e0a6aa2cee26c0f493b6978d,,,shapes_708_1
708,平日運行ダイヤ(R5),34cefa2231dcf70db6b4eff9bb5991de,,,shapes_708_1
708,平日運行ダイヤ(R5),5dbbbd19b350a50699ef58be2b124a48,,,shapes_708_1
708,平日運行ダイヤ(R5),1b9ee8b458e9476791e2b73e6a811c66,,,shapes_708_1
708,平日運行ダイヤ(R5),615dbbf2e125527d03c28964eeed8794,,,shapes_708_1
708,平日運行ダイヤ(R5),ecaa89b3d755ed4300ca111cc7f942e0,,,shapes_708_1
708,休日運行ダイヤ(R5),6f46896dd40dec293ee3efdfc39817d7,,,shapes_708_1
708,休日運行ダイヤ(R5),b0488babd579efe1b75b7ae0ad6fe931,,,shapes_708_1
708,休日運行ダイヤ(R5),fa7edd116f6111be2d85b570a82a796f,,,shapes_708_1
708,休日運行ダイヤ(R5),ad52664d676eaa82eca915c2a66c9240,,,shapes_708_1
708,休日運行ダイヤ(R5),bf35dc717f51a1d2f385c2cca2902549,,,shapes_708_1
708,休日運行ダイヤ(R5),7fb75491728ab5b323ec4542c5f3d6d3,,,shapes_708_1
708,休日運行ダイヤ(R5),807bf8d780013149546b486e1c0922e1,,,shapes_708_1
708,休日運行ダイヤ(R5),603f17383de5c025dfed95cd7da09927,,,shapes_708_1
708,平日運行ダイヤ(R6),464d6368d854828d2cda22c4d82e91c1,,,shapes_708_1
708,平日運行ダイヤ(R6),dade1e2d9deade3bae6bb392b8062ece,,,shapes_708_1
708,平日運行ダイヤ(R6),810a2a1d3075bfcbf0691d6a45d27bd2,,,shapes_708_1
708,平日運行ダイヤ(R6),be8aa4d667a54ce6277379bcf0105d0e,,,shapes_708_1
708,平日運行ダイヤ(R6),4ca077ce0beb992724f106ccf4f90561,,,shapes_708_1
708,平日運行ダイヤ(R6),651037ff1389570d01e1855a2f172e36,,,shapes_708_1
708,平日運行ダイヤ(R6),1ab5bdb888642a80d056929ed60d7fdb,,,shapes_708_1
708,平日運行ダイヤ(R6),97f35375d25d0f5d54c189a5adb4ea1b,,,shapes_708_1
708,休日運行ダイヤ(R6),598078bda4717ded15c100b7f0565e34,,,shapes_708_1
708,休日運行ダイヤ(R6),c1ba3c0111b6fff3bdc611ec5da10115,,,shapes_708_1
708,休日運行ダイヤ(R6),3386d1d55b4a7f908854c691bd17747c,,,shapes_708_1
708,休日運行ダイヤ(R6),4a141a949b77f566064969530420551e,,,shapes_708_1
708,休日運行ダイヤ(R6),6050b57b3be1f250577200e8ad571dd8,,,shapes_708_1
708,休日運行ダイヤ(R6),6cd8ca1bb53ed4470618795f37baf32c,,,shapes_708_1
708,休日運行ダイヤ(R6),5b516871afdcab8ceee0df3d5ff3dbb8,,,shapes_708_1
708,休日運行ダイヤ(R6),bc4b3dfc4e26b59da7f7c1ca7bc7fb5a,,,shapes_708_1
708,平日運行ダイヤ(R7),6524e8b35262e2127a5319a2beadead1,,,shapes_708_1
708,平日運行ダイヤ(R7),5660a473bb019bc26689e9e37253d4dc,,,shapes_708_1
708,平日運行ダイヤ(R7),c8b2916e2c4ac4bcb9a8f36eeb72191f,,,shapes_708_1
708,平日運行ダイヤ(R7),a82cb129d182a867e1f299e777f2afb4,,,shapes_708_1
708,平日運行ダイヤ(R7),bdaaee57f403a38fdd86f8389aeecfb6,,,shapes_708_1
708,平日運行ダイヤ(R7),8f2d973144acd6278fe5ff9ea02b837c,,,shapes_708_1
708,平日運行ダイヤ(R7),cf0464516fecc35a96662750a73b7842,,,shapes_708_1
