shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
101,26.320266,127.79935,1
101,26.3202664,127.7993808,2
101,26.3199074,127.7997361,3
101,26.320791,127.8001089,4
101,26.3213914,127.80007,5
101,26.3219053,127.8001786,6
101,26.321975,127.8010785,7
101,26.3220399,127.8015921,8
101,26.323367,127.8014714,9
101,26.3241555,127.801399,10
101,26.3241892,127.8017557,11
101,26.3228069,127.8018808,12
101,26.3227804,127.8015606,13
101,26.3220255,127.8016283,14
101,26.3195492,127.8018389,15
101,26.319102,127.8018147,16
101,26.3185803,127.8015827,17
101,26.3181067,127.8012649,18
101,26.3180154,127.8024478,19
101,26.3181019,127.8032658,20
101,26.3178183,127.8044031,21
101,26.3180394,127.804623,22
101,26.3182606,127.804725,23
101,26.3184818,127.8047706,24
101,26.3191021,127.8047572,25
101,26.3194026,127.8049369,26
101,26.3197212,127.8054559,27
101,26.3200734,127.8062967,28
101,26.3200998,127.8067125,29
101,26.3197896,127.8078363,30
101,26.3187126,127.8076298,31
101,26.3186597,127.8072804,32
101,26.3184625,127.8065556,33
101,26.3181788,127.8061955,34
101,26.3179913,127.805889,35
101,26.3178399,127.8052319,36
101,26.3177654,127.8044245,37
101,26.3180563,127.8032336,38
101,26.3179721,127.8024826,39
101,26.3180875,127.8010879,40
101,26.3180274,127.8005514,41
101,26.3179288,127.800133,42
101,26.3177245,127.7997763,43
101,26.3177606,127.7995644,44
101,26.3172124,127.7990387,45
101,26.3175442,127.7984486,46
101,26.3176548,127.7980999,47
101,26.3176554,127.797775,48
101,26.3176368,127.7975735,49
101,26.317686,127.7973154,50
101,26.3174961,127.7970136,51
101,26.3173374,127.7963672,52
101,26.3169014,127.7963874,53
101,26.316897,127.7965651,54
101,26.3166761,127.7966834,55
101,26.3166382,127.7966023,56
101,26.3168312,127.7964944,57
101,26.3168324,127.7963965,58
101,26.3161618,127.7964208,59
101,26.3150276,127.7964812,60
101,26.3147204,127.7965415,61
101,26.3147168,127.7963162,62
101,26.3150341,127.7964061,63
101,26.3163228,127.7963511,64
101,26.3164046,127.7977244,65
101,26.3163517,127.7990923,66
101,26.3154598,127.7988268,67
101,26.3153443,127.7992961,68
101,26.3151195,127.7994973,69
101,26.3147619,127.7996462,70
101,26.314385,127.7996395,71
101,26.3140412,127.7995107,72
101,26.3136926,127.799205,73
101,26.3123125,127.7979067,74
101,26.3120745,127.7977458,75
101,26.3118256,127.7976868,76
101,26.3115762,127.7977109,77
101,26.3113408,127.7978356,78
101,26.3109395,127.7981072,79
101,26.3107292,127.7981572,80
101,26.3104749,127.7980641,81
101,26.3103145,127.7978906,82
101,26.310246,127.7976761,83
101,26.3101414,127.7974025,84
101,26.3099827,127.7971879,85
101,26.3087444,127.7959031,86
101,26.3082275,127.7961593,87
101,26.3078837,127.7964799,88
101,26.307725,127.7968446,89
101,26.3076048,127.797322,90
101,26.3074509,127.7975715,91
101,26.306821,127.7980087,92
101,26.3064916,127.7980758,93
101,26.3061682,127.7980449,94
101,26.3059367,127.7981019,95
101,26.3057221,127.7979899,96
101,26.3055094,127.7980664,97
101,26.3050519,127.7983942,98
101,26.3047895,127.7984402,99
101,26.3046089,127.7983466,100
101,26.304733,127.7981432,101
101,26.30491,127.7976715,102
101,26.3048985,127.7973397,103
101,26.3050343,127.7971643,104
101,26.3054837,127.7971728,105
101,26.3057044,127.7970397,106
101,26.3067639,127.7961298,107
101,26.3069521,127.7958871,108
101,26.3070254,127.7955921,109
101,26.3069067,127.7953463,110
101,26.3066629,127.795008,111
101,26.3064543,127.7950288,112
101,26.306358,127.7949113,113
101,26.3063302,127.7946704,114
101,26.306628,127.7945118,115
101,26.3065495,127.7940308,116
101,26.3061727,127.7933085,117
101,26.3061482,127.7930435,118
101,26.3063475,127.7919078,119
101,26.3066017,127.7914093,120
101,26.3068559,127.7910771,121
101,26.3068685,127.7906014,122
101,26.306962,127.790583,123
101,26.3069669,127.7909555,124
101,26.3069083,127.7909536,125
101,26.306869,127.7911208,126
101,26.3066863,127.7913354,127
101,26.3065096,127.7913931,128
101,26.3060684,127.7919121,129
101,26.3060005,127.7922172,130
101,26.3058006,127.7927077,131
101,26.3055612,127.7931112,132
101,26.3053939,127.7932197,133
101,26.3045612,127.7927951,134
101,26.3043204,127.7926927,135
101,26.3040219,127.7926896,136
101,26.3038761,127.7933531,137
101,26.3034668,127.7933632,138
101,26.3033405,127.7930412,139
101,26.3031133,127.7926496,140
101,26.3024545,127.7922473,141
101,26.3023487,127.7925611,142
101,26.3021419,127.7927247,143
101,26.3019351,127.7927623,144
101,26.3011728,127.7927918,145
101,26.3007328,127.7926751,146
101,26.3004839,127.7926375,147
101,26.3003781,127.793516,148
101,26.3003258,127.7940658,149
101,26.3003613,127.7946157,150
101,26.3003296,127.7949745,151
101,26.3004951,127.795183,152
101,26.3008116,127.7963296,153
101,26.3011368,127.7975179,154
101,26.301233,127.7979028,155
101,26.3012738,127.7983098,156
101,26.3012606,127.7988325,157
101,26.3011608,127.7995483,158
101,26.3009985,127.8003637,159
101,26.3010544,127.8007472,160
101,26.3013796,127.8013668,161
101,26.3022873,127.8013856,162
101,26.3024045,127.8015398,163
101,26.3034634,127.8018959,164
101,26.3035557,127.8019676,165
101,26.3042097,127.8019033,166
101,26.3046689,127.8017786,167
101,26.30476,127.801568,168
101,26.304806,127.8017665,169
101,26.3042193,127.8019301,170
101,26.3035749,127.8020079,171
101,26.3036927,127.802372,172
101,26.303599,127.802779,173
101,26.3032118,127.8029178,174
101,26.3030183,127.8029121,175
101,26.3028397,127.8030166,176
101,26.3022433,127.8031205,177
101,26.302028,127.8032886,178
101,26.3017839,127.803623,179
101,26.3015987,127.8037071,180
101,26.301625,127.8044467,181
101,26.3014915,127.8050177,182
101,26.3013002,127.8053177,183
101,26.3027814,127.8074984,184
101,26.3029522,127.8081206,185
101,26.3029991,127.8087697,186
101,26.3028103,127.8094456,187
101,26.3015503,127.8116397,188
101,26.3013363,127.8122673,189
101,26.3013303,127.812903,190
101,26.3015365,127.8135561,191
101,26.3020072,127.8141663,192
101,26.3025602,127.8145204,193
101,26.3057101,127.816194,194
101,26.3061501,127.816709,195
101,26.306298,127.8170524,196
101,26.3059217,127.8171865,197
101,26.306292,127.819689,198
101,26.3058315,127.8197815,199
101,26.3059024,127.8202656,200
101,26.3066815,127.8201423,201
101,26.3064843,127.8187449,202
101,26.306304,127.8173005,203
101,26.3060551,127.8167661,204
101,26.3055898,127.8162317,205
101,26.3024328,127.8145686,206
101,26.3019074,127.8142146,207
101,26.3014283,127.813603,208
101,26.3012185,127.8129646,209
101,26.3012257,127.8122271,210
101,26.3014638,127.8115055,211
101,26.3025602,127.8096495,212
101,26.3008722,127.8089682,213
101,26.2998094,127.8087536,214
101,26.298826,127.8087751,215
101,26.2980253,127.8090218,216
101,26.2966618,127.8088636,217
101,26.2949413,127.8091439,218
101,26.2949443,127.8108477,219
101,26.2964403,127.8111646,220
101,26.2963757,127.8113285,221
101,26.2957312,127.811181,222
101,26.2957504,127.8110456,223
101,26.2949184,127.8108806,224
101,26.2949064,127.809105,225
101,26.2966967,127.808806,226
101,26.2980484,127.8089431,227
101,26.2988326,127.8087047,228
101,26.2998431,127.8086839,229
101,26.300805,127.8088851,230
101,26.3026132,127.8096026,231
101,26.3028921,127.8087402,232
101,26.3028488,127.8080858,233
101,26.3026804,127.8075359,234
101,26.3011848,127.8052909,235
101,26.3014565,127.8049891,236
101,26.30159,127.8044199,237
101,26.3015503,127.8036467,238
101,26.3017878,127.8035857,239
101,26.3020243,127.8032575,240
101,26.3022392,127.8030928,241
101,26.3028334,127.8029892,242
101,26.3030189,127.8028856,243
101,26.3032186,127.8028781,244
101,26.3035867,127.8027311,245
101,26.3036565,127.8023721,246
101,26.303528,127.8019714,247
101,26.3042097,127.8019033,248
101,26.3046689,127.8017786,249
101,26.30476,127.801568,250
101,26.304806,127.8017665,251
101,26.3042193,127.8019301,252
101,26.3035518,127.8020109,253
101,26.3034421,127.8019227,254
101,26.3030042,127.8017889,255
101,26.3017657,127.8014404,256
101,26.3013544,127.8014084,257
101,26.3010262,127.8007499,258
101,26.3009781,127.8003677,259
101,26.3011416,127.7994658,260
101,26.301233,127.7988482,261
101,26.3012474,127.7983336,262
101,26.3012089,127.7979262,263
101,26.3011271,127.797546,264
101,26.3008109,127.7964131,265
101,26.3004707,127.7951944,266
101,26.3002206,127.7949,267
101,26.3003613,127.7933443,268
101,26.3004466,127.7925799,269
101,26.3011752,127.7927623,270
101,26.3019688,127.7927301,271
101,26.3021359,127.7926878,272
101,26.3023222,127.7925437,273
101,26.3024448,127.7921963,274
101,26.3031494,127.7926335,275
101,26.3033754,127.7930453,276
101,26.303486,127.7933343,277
101,26.3038563,127.7933229,278
101,26.3039958,127.7926604,279
101,26.304354,127.7926684,280
101,26.3053952,127.7931888,281
101,26.3055573,127.7930723,282
101,26.3057531,127.7927359,283
101,26.3059668,127.7922346,284
101,26.3060335,127.7918973,285
101,26.3065114,127.7913561,286
101,26.3066884,127.7912971,287
101,26.3068559,127.7910771,288
101,26.3068685,127.7906014,289
101,26.306962,127.790583,290
101,26.3069669,127.7909555,291
101,26.3069083,127.7909536,292
101,26.306869,127.7911208,293
101,26.3066863,127.7913354,294
101,26.3063701,127.7919174,295
101,26.3061759,127.7930533,296
101,26.3062087,127.7933155,297
101,26.3065781,127.7940337,298
101,26.3066508,127.7945312,299
101,26.3066803,127.7950019,300
101,26.3064543,127.7950288,301
101,26.306358,127.7949113,302
101,26.3063302,127.7946704,303
101,26.3066507,127.7945027,304
101,26.3066815,127.7950162,305
101,26.3069362,127.7953614,306
101,26.307049,127.7955914,307
101,26.306968,127.7959342,308
101,26.3067543,127.7961861,309
101,26.3057054,127.7970805,310
101,26.3054793,127.7972156,311
101,26.3050512,127.7971947,312
101,26.304931,127.7973505,313
101,26.304931,127.7977155,314
101,26.3047625,127.7981778,315
101,26.3046609,127.7983397,316
101,26.3048045,127.798405,317
101,26.3050293,127.7983639,318
101,26.3055024,127.7980379,319
101,26.3057343,127.7979544,320
101,26.3059491,127.79806,321
101,26.3061447,127.7980101,322
101,26.3064782,127.7980442,323
101,26.3068133,127.797973,324
101,26.3074257,127.7975571,325
101,26.3075847,127.7972962,326
101,26.3077004,127.7968368,327
101,26.3078548,127.7964758,328
101,26.3081877,127.7961483,329
101,26.3087468,127.7958656,330
101,26.3100092,127.7971906,331
101,26.3101729,127.7974131,332
101,26.3102693,127.7976718,333
101,26.3103391,127.7978857,334
101,26.3104918,127.7980476,335
101,26.3107364,127.7981272,336
101,26.3109378,127.7980808,337
101,26.3112991,127.797823,338
101,26.3115599,127.7976828,339
101,26.311816,127.7976627,340
101,26.3120673,127.797715,341
101,26.3123294,127.7978799,342
101,26.313677,127.7991406,343
101,26.3140538,127.7994866,344
101,26.3143826,127.7996073,345
101,26.3147571,127.799615,346
101,26.3150907,127.7994833,347
101,26.3153251,127.7992841,348
