trip_id,arrival_time,departure_time,stop_id,stop_sequence
naha9_trip_1,06:42:00,06:42:00,naha9_stop_1,1
naha9_trip_1,06:42:00,06:42:00,naha9_stop_2,2
naha9_trip_1,06:42:00,06:42:00,naha9_stop_3,3
naha9_trip_1,06:42:00,06:42:00,naha9_stop_4,4
naha9_trip_1,06:42:00,06:42:00,naha9_stop_5,5
naha9_trip_1,06:42:00,06:42:00,S2865,6
naha9_trip_1,06:42:00,06:42:00,S3491,7
naha9_trip_1,06:42:00,06:42:00,naha9_stop_8,8
naha9_trip_1,06:42:00,06:42:00,naha9_stop_9,9
naha9_trip_1,06:42:00,06:42:00,naha9_stop_10,10
naha9_trip_1,06:42:00,06:42:00,naha9_stop_11,11
naha9_trip_1,06:42:00,06:42:00,naha9_stop_12,12
naha9_trip_1,06:42:00,06:42:00,naha9_stop_13,13
naha9_trip_1,06:42:00,06:42:00,naha9_stop_14,14
naha9_trip_1,06:42:00,06:42:00,naha9_stop_15,15
naha9_trip_1,06:42:00,06:42:00,S3173,16
naha9_trip_1,06:42:00,06:42:00,S3239,17
naha9_trip_1,06:42:00,06:42:00,naha9_stop_18,18
naha9_trip_1,06:42:00,06:42:00,naha9_stop_19,19
naha9_trip_1,06:42:00,06:42:00,naha9_stop_20,20
naha9_trip_1,06:42:00,06:42:00,naha9_stop_21,21
naha9_trip_1,06:42:00,06:42:00,naha9_stop_22,22
naha9_trip_1,06:42:00,06:42:00,S4397,23
naha9_trip_1,06:42:00,06:42:00,naha9_stop_24,24
naha9_trip_1,06:42:00,06:42:00,naha9_stop_25,25
naha9_trip_1,06:42:00,06:42:00,naha9_stop_26,26
naha9_trip_1,06:42:00,06:42:00,S3341,27
naha9_trip_1,06:42:00,06:42:00,naha9_stop_28,28
naha9_trip_1,06:42:00,06:42:00,naha9_stop_29,29
naha9_trip_1,06:42:00,06:42:00,naha9_stop_30,30
naha9_trip_1,06:42:00,06:42:00,naha9_stop_31,31
naha9_trip_1,06:42:00,06:42:00,naha9_stop_32,32
naha9_trip_1,06:42:00,06:42:00,naha9_stop_33,33
naha9_trip_1,06:42:00,06:42:00,naha9_stop_34,34
naha9_trip_1,06:42:00,06:42:00,naha9_stop_35,35
naha9_trip_1,06:42:00,06:42:00,naha9_stop_36,36
naha9_trip_1,06:42:00,06:42:00,naha9_stop_37,37
naha9_trip_2,07:09:00,07:09:00,naha9_stop_1,1
naha9_trip_2,07:09:00,07:09:00,naha9_stop_2,2
naha9_trip_2,07:09:00,07:09:00,naha9_stop_3,3
naha9_trip_2,07:09:00,07:09:00,naha9_stop_4,4
naha9_trip_2,07:09:00,07:09:00,naha9_stop_5,5
naha9_trip_2,07:09:00,07:09:00,S2865,6
naha9_trip_2,07:09:00,07:09:00,S3491,7
naha9_trip_2,07:09:00,07:09:00,naha9_stop_8,8
naha9_trip_2,07:09:00,07:09:00,naha9_stop_9,9
naha9_trip_2,07:09:00,07:09:00,naha9_stop_10,10
naha9_trip_2,07:09:00,07:09:00,naha9_stop_11,11
naha9_trip_2,07:09:00,07:09:00,naha9_stop_12,12
naha9_trip_2,07:09:00,07:09:00,naha9_stop_13,13
naha9_trip_2,07:09:00,07:09:00,naha9_stop_14,14
naha9_trip_2,07:09:00,07:09:00,naha9_stop_15,15
naha9_trip_2,07:09:00,07:09:00,S3173,16
naha9_trip_2,07:09:00,07:09:00,S3239,17
naha9_trip_2,07:09:00,07:09:00,naha9_stop_18,18
naha9_trip_2,07:09:00,07:09:00,naha9_stop_19,19
naha9_trip_2,07:09:00,07:09:00,naha9_stop_20,20
naha9_trip_2,07:09:00,07:09:00,naha9_stop_21,21
naha9_trip_2,07:09:00,07:09:00,naha9_stop_22,22
naha9_trip_2,07:09:00,07:09:00,S4397,23
naha9_trip_2,07:09:00,07:09:00,naha9_stop_24,24
naha9_trip_2,07:09:00,07:09:00,naha9_stop_25,25
naha9_trip_2,07:09:00,07:09:00,naha9_stop_26,26
naha9_trip_2,07:09:00,07:09:00,S3341,27
naha9_trip_2,07:09:00,07:09:00,naha9_stop_28,28
naha9_trip_2,07:09:00,07:09:00,naha9_stop_29,29
naha9_trip_2,07:09:00,07:09:00,naha9_stop_30,30
naha9_trip_2,07:09:00,07:09:00,naha9_stop_31,31
naha9_trip_2,07:09:00,07:09:00,naha9_stop_32,32
naha9_trip_2,07:09:00,07:09:00,naha9_stop_33,33
naha9_trip_2,07:09:00,07:09:00,naha9_stop_34,34
naha9_trip_2,07:09:00,07:09:00,naha9_stop_35,35
naha9_trip_2,07:09:00,07:09:00,naha9_stop_36,36
naha9_trip_2,07:09:00,07:09:00,naha9_stop_37,37
naha9_trip_3,07:25:00,07:25:00,naha9_stop_1,1
naha9_trip_3,07:25:00,07:25:00,naha9_stop_2,2
naha9_trip_3,07:25:00,07:25:00,naha9_stop_3,3
naha9_trip_3,07:25:00,07:25:00,naha9_stop_4,4
naha9_trip_3,07:25:00,07:25:00,naha9_stop_5,5
naha9_trip_3,07:25:00,07:25:00,S2865,6
naha9_trip_3,07:25:00,07:25:00,S3491,7
naha9_trip_3,07:25:00,07:25:00,naha9_stop_8,8
naha9_trip_3,07:25:00,07:25:00,naha9_stop_9,9
naha9_trip_3,07:25:00,07:25:00,naha9_stop_10,10
naha9_trip_3,07:25:00,07:25:00,naha9_stop_11,11
naha9_trip_3,07:25:00,07:25:00,naha9_stop_12,12
naha9_trip_3,07:25:00,07:25:00,naha9_stop_13,13
naha9_trip_3,07:25:00,07:25:00,naha9_stop_14,14
naha9_trip_3,07:25:00,07:25:00,naha9_stop_15,15
naha9_trip_3,07:25:00,07:25:00,S3173,16
naha9_trip_3,07:25:00,07:25:00,S3239,17
naha9_trip_3,07:25:00,07:25:00,naha9_stop_18,18
naha9_trip_3,07:25:00,07:25:00,naha9_stop_19,19
naha9_trip_3,07:25:00,07:25:00,naha9_stop_20,20
naha9_trip_3,07:25:00,07:25:00,naha9_stop_21,21
naha9_trip_3,07:25:00,07:25:00,naha9_stop_22,22
naha9_trip_3,07:25:00,07:25:00,S4397,23
naha9_trip_3,07:25:00,07:25:00,naha9_stop_24,24
naha9_trip_3,07:25:00,07:25:00,naha9_stop_25,25
naha9_trip_3,07:25:00,07:25:00,naha9_stop_26,26
naha9_trip_3,07:25:00,07:25:00,S3341,27
naha9_trip_3,07:25:00,07:25:00,naha9_stop_28,28
naha9_trip_3,07:25:00,07:25:00,naha9_stop_29,29
naha9_trip_3,07:25:00,07:25:00,naha9_stop_30,30
naha9_trip_3,07:25:00,07:25:00,naha9_stop_31,31
naha9_trip_3,07:25:00,07:25:00,naha9_stop_32,32
naha9_trip_3,07:25:00,07:25:00,naha9_stop_33,33
naha9_trip_3,07:25:00,07:25:00,naha9_stop_34,34
naha9_trip_3,07:25:00,07:25:00,naha9_stop_35,35
naha9_trip_3,07:25:00,07:25:00,naha9_stop_36,36
naha9_trip_3,07:25:00,07:25:00,naha9_stop_37,37
naha9_trip_4,07:46:00,07:46:00,naha9_stop_1,1
naha9_trip_4,07:46:00,07:46:00,naha9_stop_2,2
naha9_trip_4,07:46:00,07:46:00,naha9_stop_3,3
naha9_trip_4,07:46:00,07:46:00,naha9_stop_4,4
naha9_trip_4,07:46:00,07:46:00,naha9_stop_5,5
naha9_trip_4,07:46:00,07:46:00,S2865,6
naha9_trip_4,07:46:00,07:46:00,S3491,7
naha9_trip_4,07:46:00,07:46:00,naha9_stop_8,8
naha9_trip_4,07:46:00,07:46:00,naha9_stop_9,9
naha9_trip_4,07:46:00,07:46:00,naha9_stop_10,10
naha9_trip_4,07:46:00,07:46:00,naha9_stop_11,11
naha9_trip_4,07:46:00,07:46:00,naha9_stop_12,12
naha9_trip_4,07:46:00,07:46:00,naha9_stop_13,13
naha9_trip_4,07:46:00,07:46:00,naha9_stop_14,14
naha9_trip_4,07:46:00,07:46:00,naha9_stop_15,15
naha9_trip_4,07:46:00,07:46:00,S3173,16
naha9_trip_4,07:46:00,07:46:00,S3239,17
