trip_id,arrival_time,departure_time,stop_id,stop_sequence
naha12up_trip_1,06:48:00,06:48:00,naha12up_stop_1,1
naha12up_trip_1,06:48:00,06:48:00,naha12up_stop_2,2
naha12up_trip_1,06:48:00,06:48:00,naha12up_stop_3,3
naha12up_trip_1,06:48:00,06:48:00,S3205,4
naha12up_trip_1,06:48:00,06:48:00,S2090,5
naha12up_trip_1,06:48:00,06:48:00,naha12up_stop_6,6
naha12up_trip_1,06:48:00,06:48:00,naha12up_stop_7,7
naha12up_trip_1,06:48:00,06:48:00,naha12up_stop_8,8
naha12up_trip_1,06:48:00,06:48:00,naha12up_stop_9,9
naha12up_trip_1,06:48:00,06:48:00,naha12up_stop_10,10
naha12up_trip_1,06:48:00,06:48:00,naha12up_stop_11,11
naha12up_trip_1,06:48:00,06:48:00,naha12up_stop_12,12
naha12up_trip_1,06:48:00,06:48:00,naha12up_stop_13,13
naha12up_trip_1,06:48:00,06:48:00,naha12up_stop_14,14
naha12up_trip_1,06:48:00,06:48:00,naha12up_stop_15,15
naha12up_trip_1,06:48:00,06:48:00,S3536,16
naha12up_trip_1,06:48:00,06:48:00,S512,17
naha12up_trip_1,06:48:00,06:48:00,S3660,18
naha12up_trip_1,06:48:00,06:48:00,S3021,19
naha12up_trip_1,06:48:00,06:48:00,S4075,20
naha12up_trip_1,06:48:00,06:48:00,naha12up_stop_21,21
naha12up_trip_1,06:48:00,06:48:00,S4445,22
naha12up_trip_1,06:48:00,06:48:00,naha12up_stop_23,23
naha12up_trip_1,06:48:00,06:48:00,naha12up_stop_24,24
naha12up_trip_1,06:48:00,06:48:00,naha12up_stop_25,25
naha12up_trip_1,06:48:00,06:48:00,naha12up_stop_26,26
naha12up_trip_1,06:48:00,06:48:00,naha12up_stop_27,27
naha12up_trip_1,06:48:00,06:48:00,S4397,28
naha12up_trip_1,06:48:00,06:48:00,naha12up_stop_29,29
naha12up_trip_1,06:48:00,06:48:00,naha12up_stop_30,30
naha12up_trip_1,06:48:00,06:48:00,naha12up_stop_31,31
naha12up_trip_1,06:48:00,06:48:00,naha12up_stop_32,32
naha12up_trip_1,06:48:00,06:48:00,naha12up_stop_33,33
naha12up_trip_1,06:48:00,06:48:00,naha12up_stop_34,34
naha12up_trip_1,06:48:00,06:48:00,naha12up_stop_35,35
naha12up_trip_1,06:48:00,06:48:00,naha12up_stop_36,36
naha12up_trip_1,06:48:00,06:48:00,S3399,37
naha12up_trip_1,06:48:00,06:48:00,S3977,38
naha12up_trip_1,06:48:00,06:48:00,S3327,39
naha12up_trip_1,06:48:00,06:48:00,S4067,40
naha12up_trip_1,06:48:00,06:48:00,naha12up_stop_41,41
naha12up_trip_1,06:48:00,06:48:00,naha12up_stop_42,42
naha12up_trip_2,07:23:00,07:23:00,naha12up_stop_1,1
naha12up_trip_2,07:23:00,07:23:00,naha12up_stop_2,2
naha12up_trip_2,07:23:00,07:23:00,naha12up_stop_3,3
naha12up_trip_2,07:23:00,07:23:00,S3205,4
naha12up_trip_2,07:23:00,07:23:00,S2090,5
naha12up_trip_2,07:23:00,07:23:00,naha12up_stop_6,6
naha12up_trip_2,07:23:00,07:23:00,naha12up_stop_7,7
naha12up_trip_2,07:23:00,07:23:00,naha12up_stop_8,8
naha12up_trip_2,07:23:00,07:23:00,naha12up_stop_9,9
naha12up_trip_2,07:23:00,07:23:00,naha12up_stop_10,10
naha12up_trip_2,07:23:00,07:23:00,naha12up_stop_11,11
naha12up_trip_2,07:23:00,07:23:00,naha12up_stop_12,12
naha12up_trip_2,07:23:00,07:23:00,naha12up_stop_13,13
naha12up_trip_2,07:23:00,07:23:00,naha12up_stop_14,14
naha12up_trip_2,07:23:00,07:23:00,naha12up_stop_15,15
naha12up_trip_2,07:23:00,07:23:00,S3536,16
naha12up_trip_2,07:23:00,07:23:00,S512,17
naha12up_trip_2,07:23:00,07:23:00,S3660,18
