trip_id,arrival_time,departure_time,stop_id,stop_sequence
naha12_trip_1,06:48:00,06:48:00,naha12_stop_1,1
naha12_trip_1,06:48:00,06:48:00,naha12_stop_2,2
naha12_trip_1,06:48:00,06:48:00,naha12_stop_3,3
naha12_trip_1,06:48:00,06:48:00,S3205,4
naha12_trip_1,06:48:00,06:48:00,S2090,5
naha12_trip_1,06:48:00,06:48:00,naha12_stop_6,6
naha12_trip_1,06:48:00,06:48:00,naha12_stop_7,7
naha12_trip_1,06:48:00,06:48:00,naha12_stop_8,8
naha12_trip_1,06:48:00,06:48:00,naha12_stop_9,9
naha12_trip_1,06:48:00,06:48:00,S3448,10
naha12_trip_1,06:48:00,06:48:00,naha12_stop_11,11
naha12_trip_1,06:48:00,06:48:00,naha12_stop_12,12
naha12_trip_1,06:48:00,06:48:00,naha12_stop_13,13
naha12_trip_1,06:48:00,06:48:00,S3536,14
naha12_trip_1,06:48:00,06:48:00,S512,15
naha12_trip_1,06:48:00,06:48:00,S3660,16
naha12_trip_1,06:48:00,06:48:00,S3021,17
naha12_trip_1,06:48:00,06:48:00,S4075,18
naha12_trip_1,06:48:00,06:48:00,naha12_stop_19,19
naha12_trip_1,06:48:00,06:48:00,naha12_stop_20,20
naha12_trip_1,06:48:00,06:48:00,naha12_stop_21,21
naha12_trip_1,06:48:00,06:48:00,naha12_stop_22,22
naha12_trip_1,06:48:00,06:48:00,naha12_stop_23,23
naha12_trip_1,06:48:00,06:48:00,naha12_stop_24,24
naha12_trip_1,06:48:00,06:48:00,naha12_stop_25,25
naha12_trip_1,06:48:00,06:48:00,naha12_stop_26,26
naha12_trip_1,06:48:00,06:48:00,naha12_stop_27,27
naha12_trip_1,06:48:00,06:48:00,naha12_stop_28,28
naha12_trip_1,06:48:00,06:48:00,naha12_stop_29,29
naha12_trip_1,06:48:00,06:48:00,naha12_stop_30,30
naha12_trip_1,06:48:00,06:48:00,naha12_stop_31,31
naha12_trip_1,06:48:00,06:48:00,naha12_stop_32,32
naha12_trip_1,06:48:00,06:48:00,naha12_stop_33,33
naha12_trip_1,06:48:00,06:48:00,naha12_stop_34,34
