trip_id,arrival_time,departure_time,stop_id,stop_sequence
naha55_trip_1,07:37:00,07:37:00,naha55_stop_1,1
naha55_trip_1,07:37:00,07:37:00,S2725,2
naha55_trip_1,07:37:00,07:37:00,S3074,3
naha55_trip_1,07:37:00,07:37:00,naha55_stop_4,4
naha55_trip_1,07:37:00,07:37:00,naha55_stop_5,5
naha55_trip_1,07:37:00,07:37:00,naha55_stop_6,6
naha55_trip_1,07:37:00,07:37:00,naha55_stop_7,7
naha55_trip_1,07:37:00,07:37:00,S2876,8
naha55_trip_1,07:37:00,07:37:00,S2876,9
naha55_trip_1,07:37:00,07:37:00,naha55_stop_10,10
naha55_trip_1,07:37:00,07:37:00,naha55_stop_11,11
naha55_trip_1,07:37:00,07:37:00,naha55_stop_12,12
naha55_trip_1,07:37:00,07:37:00,naha55_stop_13,13
naha55_trip_1,07:37:00,07:37:00,naha55_stop_14,14
naha55_trip_1,07:37:00,07:37:00,naha55_stop_15,15
naha55_trip_1,07:37:00,07:37:00,naha55_stop_16,16
naha55_trip_1,07:37:00,07:37:00,naha55_stop_17,17
naha55_trip_1,07:37:00,07:37:00,S3756,18
naha55_trip_1,07:37:00,07:37:00,naha55_stop_19,19
naha55_trip_1,07:37:00,07:37:00,naha55_stop_20,20
naha55_trip_1,07:37:00,07:37:00,naha55_stop_21,21
naha55_trip_1,07:37:00,07:37:00,naha55_stop_22,22
naha55_trip_1,07:37:00,07:37:00,naha55_stop_23,23
naha55_trip_1,07:37:00,07:37:00,naha55_stop_24,24
naha55_trip_1,07:37:00,07:37:00,S3234,25
naha55_trip_1,07:37:00,07:37:00,naha55_stop_26,26
naha55_trip_1,07:37:00,07:37:00,naha55_stop_27,27
naha55_trip_1,07:37:00,07:37:00,naha55_stop_28,28
naha55_trip_1,07:37:00,07:37:00,naha55_stop_29,29
naha55_trip_1,07:37:00,07:37:00,naha55_stop_30,30
naha55_trip_1,07:37:00,07:37:00,naha55_stop_31,31
naha55_trip_1,07:37:00,07:37:00,naha55_stop_32,32
naha55_trip_1,07:37:00,07:37:00,naha55_stop_33,33
naha55_trip_1,07:37:00,07:37:00,S2378,34
