route_id,service_id,trip_id,trip_headsign
naha120down_1,weekday,naha120down_trip_1,120down
naha120down_1,weekday,naha120down_trip_2,120down
naha120down_1,weekday,naha120down_trip_3,120down
naha120down_1,weekday,naha120down_trip_4,120down
naha120down_1,weekday,naha120down_trip_5,120down
naha120down_1,weekday,naha120down_trip_6,120down
naha120down_1,weekday,naha120down_trip_7,120down
naha120down_1,weekday,naha120down_trip_8,120down
naha120down_1,weekday,naha120down_trip_9,120down
naha120down_1,weekday,naha120down_trip_10,120down
naha120down_1,weekday,naha120down_trip_11,120down
naha120down_1,weekday,naha120down_trip_12,120down
naha120down_1,weekday,naha120down_trip_13,120down
naha120down_1,weekday,naha120down_trip_14,120down
naha120down_1,weekday,naha120down_trip_15,120down
naha120down_1,weekday,naha120down_trip_16,120down
naha120down_1,weekday,naha120down_trip_17,120down
naha120down_1,weekday,naha120down_trip_18,120down
naha120down_1,weekday,naha120down_trip_19,120down
naha120down_1,weekday,naha120down_trip_20,120down
naha120down_1,weekday,naha120down_trip_21,120down
naha120down_1,weekday,naha120down_trip_22,120down
naha120down_1,weekday,naha120down_trip_23,120down
naha120down_1,weekday,naha120down_trip_24,120down
naha120down_1,weekday,naha120down_trip_25,120down
naha120down_1,weekday,naha120down_trip_26,120down
naha120down_1,weekday,naha120down_trip_27,120down
naha120down_1,weekday,naha120down_trip_28,120down
naha120down_1,weekday,naha120down_trip_29,120down
naha120down_1,weekday,naha120down_trip_30,120down
naha120down_1,weekday,naha120down_trip_31,120down
naha120down_1,weekday,naha120down_trip_32,120down
naha120down_1,weekday,naha120down_trip_33,120down
naha120down_1,weekday,naha120down_trip_34,120down
naha120down_1,weekday,naha120down_trip_35,120down
naha120down_1,weekday,naha120down_trip_36,120down
naha120down_1,weekday,naha120down_trip_37,120down
naha120down_1,weekday,naha120down_trip_38,120down
naha120down_1,holiday,naha120down_trip_39,120down
naha120down_1,holiday,naha120down_trip_40,120down
naha120down_1,holiday,naha120down_trip_41,120down
naha120down_1,holiday,naha120down_trip_42,120down
naha120down_1,holiday,naha120down_trip_43,120down
naha120down_1,holiday,naha120down_trip_44,120down
naha120down_1,holiday,naha120down_trip_45,120down
naha120down_1,holiday,naha120down_trip_46,120down
naha120down_1,holiday,naha120down_trip_47,120down
