shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
shapes_337_1,26.255270184000757,127.78285682201387,90011
shapes_337_1,26.25497190273094,127.78249740600587,90012
shapes_337_1,26.254721730752703,127.78272807598115,90013
shapes_337_1,26.2544908022946,127.78297483921052,90014
shapes_337_1,26.25415403080363,127.7832591533661,90015
shapes_337_1,26.254019321933846,127.78338789939882,90016
shapes_337_1,26.25379801416581,127.78314650058748,90017
shapes_337_1,26.253721037452,127.78307676315309,90018
shapes_337_1,26.253687360123667,127.78303384780885,90019
shapes_337_1,26.253369830548024,127.78276562690736,90020
shapes_337_1,26.253288042486453,127.7826637029648,90021
shapes_337_1,26.25318701009559,127.7825564146042,90022
shapes_337_1,26.253042677956238,127.7824115753174,90023
shapes_337_1,26.25289353455716,127.7822506427765,90024
shapes_337_1,26.25276,127.7821,90025
shapes_337_1,26.25251,127.78179,90026
shapes_337_1,26.25243,127.78168,90027
shapes_337_1,26.25243,127.78168,100001
shapes_337_1,26.25217,127.78132,100002
shapes_337_1,26.25185,127.78083,100003
shapes_337_1,26.25174,127.78066,100004
shapes_337_1,26.25165,127.78043,100005
shapes_337_1,26.25158,127.78014,100006
shapes_337_1,26.25154,127.78,100007
shapes_337_1,26.2515,127.77984,100008
shapes_337_1,26.25137,127.77929,100009
shapes_337_1,26.25132,127.77895,100010
shapes_337_1,26.25132,127.77869,100011
shapes_337_1,26.25134,127.77843,100012
shapes_337_1,26.25136,127.77806,100013
shapes_337_1,26.25135,127.77788,100014
shapes_337_1,26.25131,127.77764,100015
shapes_337_1,26.25125,127.77738,100016
shapes_337_1,26.2512,127.7772,100017
shapes_337_1,26.25114,127.77708,100018
shapes_337_1,26.25098,127.7769,100019
shapes_337_1,26.25071,127.77669,100020
shapes_337_1,26.25045,127.77652,100021
shapes_337_1,26.25024,127.77636,100022
shapes_337_1,26.25005,127.77617,100023
shapes_337_1,26.24989,127.77596,100024
shapes_337_1,26.24973,127.77571,100025
shapes_337_1,26.24966,127.77557,100026
shapes_337_1,26.24961,127.77541,100027
shapes_337_1,26.24961,127.7753,100028
shapes_337_1,26.24964,127.77514,100029
shapes_337_1,26.24986,127.77445,100030
shapes_337_1,26.25004,127.7739,100031
shapes_337_1,26.2496,127.77371,100032
shapes_337_1,26.24923,127.77355,100033
shapes_337_1,26.24915,127.77352,100034
shapes_337_1,26.24915,127.77352,110001
shapes_337_1,26.24807,127.77306,110002
shapes_337_1,26.24749,127.77281,110003
shapes_337_1,26.24705,127.77263,110004
shapes_337_1,26.24634,127.77233,110005
shapes_337_1,26.24617,127.77218,110006
shapes_337_1,26.24612,127.77206,110007
shapes_337_1,26.2461,127.77202,110008
shapes_337_1,26.24607,127.77185,110009
shapes_337_1,26.24608,127.77169,110010
shapes_337_1,26.24616,127.77146,110011
shapes_337_1,26.24644,127.77099,110012
shapes_337_1,26.24646,127.77097,110013
